2026-06-19 23:07:16,700 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:409 | INFO | Starting categorical WoE auto binning. Feature:gender, Target:TARGET
2026-06-19 23:07:16,703 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:463 | INFO | Missing rows dropped. Before=20100, After=20100, Dropped=0
2026-06-19 23:07:16,703 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:466 | INFO | Target variable TARGET converted to integer type.
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:470 | INFO | Distinct categories found: ['1', '2']
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:182 | INFO | Creating initial category groups. Category count=2
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:188 | INFO | Initial category groups created:
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '1' -> Group: 0
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '2' -> Group: 1
2026-06-19 23:07:16,704 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:484 | INFO | Feature 'gender' is a flag variable (2 unique values). Creating 2 groups, computing WoE and skipping rule-based merging.
2026-06-19 23:07:16,705 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:689 | INFO | Iterative merging process completed after 0 iterations.
2026-06-19 23:07:16,705 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:690 | INFO | ----FINAL BINNING RESULTS----
2026-06-19 23:07:16,705 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=2
2026-06-19 23:07:16,706 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,706 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 7998 observations, Categories: ['1']
2026-06-19 23:07:16,706 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 12102 observations, Categories: ['2']
2026-06-19 23:07:16,707 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
2026-06-19 23:07:16,709 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:113 | INFO | Total good: 15654, Total bad: 4446
2026-06-19 23:07:16,711 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:145 | INFO | WoE / IV table calculated. Bin count=2, Total IV=0.011030
2026-06-19 23:07:16,714 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:741 | WARNING | Flag variable final status: REVIEW_WEAK_VARIABLE (IV=0.011030 < 0.02)
2026-06-19 23:07:16,714 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:764 | INFO | Feature: gender, Final bins=2, Total IV=0.011030, Status=REVIEW_WEAK_VARIABLE
2026-06-19 23:07:16,714 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:766 | INFO | Values to Group mapping:
2026-06-19 23:07:16,714 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:768 | INFO |   - gender_grp0: ['1']
2026-06-19 23:07:16,714 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:768 | INFO |   - gender_grp1: ['2']
2026-06-19 23:07:16,716 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:788 | INFO | Auto binning result saved to ./outputs/auto_binning_woe/gender/final_auto_binning_woe.json
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:792 | INFO | Final WOE table saved to ./outputs/auto_binning_woe/gender/final_woe_table.csv
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:795 | INFO | ==================================================
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:796 | INFO | INITIALIZE PARAMETERS
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:797 | INFO | Feature:..................... gender
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:798 | INFO | Target:...................... TARGET
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:799 | INFO | Minimum Bin Percentage:...... 0.05
2026-06-19 23:07:16,717 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:800 | INFO | Maximum Final Bins:.......... 6
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:801 | INFO | Minimum Final Bins:.......... 2
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:802 | INFO | Minimum IV:.................. 0.02
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:803 | INFO | Maximum IV:.................. 0.5
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:804 | INFO | Maximum Iterations:.......... 20
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:805 | INFO | ==================================================
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:807 | INFO | ==================================================
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:808 | INFO | AUTO BINNING RESULTS
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:809 | INFO | Stopping Iteration:............... 0
