2026-06-23 16:24:37,195 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1206 | INFO | Starting numeric WoE auto binning. Feature:credit_limit, Target:TARGET
2026-06-23 16:24:37,197 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1275 | INFO | Missing rows dropped. Before=8892, After=8892, Dropped=0
2026-06-23 16:24:37,197 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1276 | INFO | MISSING bin will be computed from 0 null observations.
2026-06-23 16:24:37,198 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1279 | INFO | Target variable TARGET converted to integer type.
2026-06-23 16:24:37,201 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1287 | INFO | Initial bins created.
2026-06-23 16:24:37,202 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1290 | INFO | Initial intervals created.
2026-06-23 16:24:37,202 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1298 | INFO | --- Iteration 1 ---
2026-06-23 16:24:37,408 | [None] | mlops.auto_binning_woe_numeric | calculate_woe_iv_table:343 | INFO | WoE / IV table calculated. Bin count=18, Total IV=0.209289
2026-06-23 16:24:37,413 | [None] | mlops.auto_binning_woe_numeric | merge_intervals:607 | INFO | Merge Completed - REMOVED ITEM: 60000.0
2026-06-23 16:24:37,414 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1298 | INFO | --- Iteration 2 ---
2026-06-23 16:24:37,612 | [None] | mlops.auto_binning_woe_numeric | calculate_woe_iv_table:343 | INFO | WoE / IV table calculated. Bin count=17, Total IV=0.209190
2026-06-23 16:24:37,617 | [None] | mlops.auto_binning_woe_numeric | merge_intervals:607 | INFO | Merge Completed - REMOVED ITEM: 200000.0
2026-06-23 16:24:37,617 | [None] | mlops.auto_binning_woe_numeric | auto_woe_binning_numeric:1298 | INFO | --- Iteration 3 ---
