2026-06-20 21:46:20,440 | [None] | mlops.sklearn_wrapper_logistic | __init__:131 | INFO | --------------------------------------------------
2026-06-20 21:46:20,440 | [None] | mlops.sklearn_wrapper_logistic | __init__:132 | INFO | LogisticRegressionWrapper initialized with parameters:
2026-06-20 21:46:20,440 | [None] | mlops.sklearn_wrapper_logistic | __init__:133 | INFO | 	Display convergence messages: False
2026-06-20 21:46:20,440 | [None] | mlops.sklearn_wrapper_logistic | __init__:134 | INFO | 	Optimization method: bfgs
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:135 | INFO | 	Maximum iterations: 500
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:136 | INFO | 	Model directory: outputs/logitmodel
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:137 | INFO | 	Metrics directory: outputs/logitmodel/metrics
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:138 | INFO | 	Save results: True
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:139 | INFO | 	Save model: True
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:140 | INFO | 	Evaluate model: True
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:141 | INFO | 	Evaluation bins: 20
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:142 | INFO | 	Prediction threshold: 0.5
2026-06-20 21:46:20,441 | [None] | mlops.sklearn_wrapper_logistic | __init__:143 | INFO | --------------------------------------------------
2026-06-20 21:48:15,748 | [None] | mlops.sklearn_wrapper_logistic | fit:177 | INFO | Starting fit method
2026-06-20 21:48:15,748 | [None] | mlops.sklearn_wrapper_logistic | fit:198 | INFO | Number of input features: 6
2026-06-20 21:48:15,749 | [None] | mlops.sklearn_wrapper_logistic | fit:214 | INFO | Created internal LogisticRegression instance
2026-06-20 21:48:16,934 | [None] | mlops.sklearn_wrapper_logistic | fit:218 | INFO | Internal model fitted successfully
2026-06-20 21:48:16,976 | [None] | mlops.sklearn_wrapper_logistic | predict:256 | INFO | Starting predict with threshold=0.5000
2026-06-20 21:48:16,977 | [None] | mlops.sklearn_wrapper_logistic | predict:277 | INFO | Predictions completed for 1 samples
2026-06-20 21:48:16,978 | [None] | mlops.sklearn_wrapper_logistic | predict:278 | INFO | Class 0: 0, Class 1: 1
2026-06-20 21:48:17,021 | [None] | mlops.sklearn_wrapper_logistic | predict_proba:315 | INFO | Starting predict_proba
2026-06-20 21:48:17,022 | [None] | mlops.sklearn_wrapper_logistic | predict_proba:340 | INFO | Probabilities predicted for 1 samples
2026-06-20 21:48:17,022 | [None] | mlops.sklearn_wrapper_logistic | predict_proba:341 | INFO | Output shape: (1, 2)
