2026-06-19 23:10:17,481 | [None] | mlops.sklearn_wrapper_woe | fit:162 | INFO | Fitting WOETransformer - Features in DataFrame: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005', 'credit_limit_right', 'age_right', 'bill_amount_sep_2005_right', 'bill_amount_aug_2005_right', 'bill_amount_jul_2005_right', 'bill_amount_jun_2005_right', 'bill_amount_may_2005_right', 'bill_amount_apr_2005_right', 'payment_amount_sep_2005_right', 'payment_amount_aug_2005_right', 'payment_amount_jul_2005_right', 'payment_amount_jun_2005_right', 'payment_amount_may_2005_right', 'payment_amount_apr_2005_right']
2026-06-19 23:10:17,482 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature credit_limit from outputs\auto_binning_woe\credit_limit\final_auto_binning_woe.json
2026-06-19 23:10:17,491 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 8 bins and WOE values for feature 'credit_limit' from outputs\auto_binning_woe\credit_limit\final_auto_binning_woe.json
2026-06-19 23:10:17,491 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.724575
2026-06-19 23:10:17,491 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.281068
2026-06-19 23:10:17,492 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.124146
2026-06-19 23:10:17,492 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = -0.056077
2026-06-19 23:10:17,493 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.211665
2026-06-19 23:10:17,493 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.308390
2026-06-19 23:10:17,494 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.536155
2026-06-19 23:10:17,494 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 7: WOE = 0.772198
2026-06-19 23:10:17,495 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature age from outputs\auto_binning_woe\age\final_auto_binning_woe.json
2026-06-19 23:10:17,499 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 4 bins and WOE values for feature 'age' from outputs\auto_binning_woe\age\final_auto_binning_woe.json
2026-06-19 23:10:17,500 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = 0.033049
