2026-06-23 16:24:37,195 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:199 | INFO | Starting WOE fitting for 14 numeric features: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005']
2026-06-23 16:24:37,195 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: credit_limit
2026-06-23 16:24:39,377 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'credit_limit' fitted with 8 bins and IV=0.2055
2026-06-23 16:24:39,377 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: age
2026-06-23 16:24:42,564 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'age' fitted with 4 bins and IV=0.0062
2026-06-23 16:24:42,564 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_sep_2005
2026-06-23 16:24:45,357 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_sep_2005' fitted with 7 bins and IV=0.0102
2026-06-23 16:24:45,357 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_aug_2005
2026-06-23 16:24:48,322 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_aug_2005' fitted with 4 bins and IV=0.0096
2026-06-23 16:24:48,322 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_jul_2005
2026-06-23 16:24:51,312 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_jul_2005' fitted with 4 bins and IV=0.0077
2026-06-23 16:24:51,312 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_jun_2005
2026-06-23 16:24:54,458 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_jun_2005' fitted with 3 bins and IV=0.0017
2026-06-23 16:24:54,458 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_may_2005
2026-06-23 16:24:57,463 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_may_2005' fitted with 4 bins and IV=0.0034
2026-06-23 16:24:57,463 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: bill_amount_apr_2005
