decile,minProbability,maxProbability,observations,bad,good,populationRate,badRate,goodRate,badDistribution,goodDistribution,cumulativeBad,cumulativeGood,cumulativeBadRate,cumulativeGoodRate,cumulativePopulation,cumulativePopulationRate,cumulativeLift,ks,decileLift
1,0.5423,0.9965,1500,1029,471,0.0500,0.6860,0.3140,0.1551,0.0202,1029,471,0.1551,0.0202,1500,0.0500,3.1013,0.1349,3.1013
2,0.3784,0.5421,1500,762,738,0.0500,0.5080,0.4920,0.1148,0.0316,1791,1209,0.2699,0.0517,3000,0.1000,2.6989,0.2181,2.2966
3,0.3122,0.3784,1500,627,873,0.0500,0.4180,0.5820,0.0945,0.0374,2418,2082,0.3644,0.0891,4500,0.1500,2.4292,0.2753,1.8897
4,0.2716,0.3122,1500,497,1003,0.0500,0.3313,0.6687,0.0749,0.0429,2915,3085,0.4393,0.1320,6000,0.2000,2.1964,0.3072,1.4979
5,0.2490,0.2716,1500,387,1113,0.0500,0.2580,0.7420,0.0583,0.0476,3302,4198,0.4976,0.1797,7500,0.2500,1.9904,0.3179,1.1664
6,0.2350,0.2490,1500,307,1193,0.0500,0.2047,0.7953,0.0463,0.0511,3609,5391,0.5439,0.2307,9000,0.3000,1.8128,0.3131,0.9253
7,0.2237,0.2350,1500,293,1207,0.0500,0.1953,0.8047,0.0442,0.0517,3902,6598,0.5880,0.2824,10500,0.3500,1.6800,0.3056,0.8831
8,0.2126,0.2237,1500,259,1241,0.0500,0.1727,0.8273,0.0390,0.0531,4161,7839,0.6270,0.3355,12000,0.4000,1.5676,0.2915,0.7806
9,0.2026,0.2126,1500,297,1203,0.0500,0.1980,0.8020,0.0448,0.0515,4458,9042,0.6718,0.3870,13500,0.4500,1.4929,0.2848,0.8951
10,0.1937,0.2026,1500,238,1262,0.0500,0.1587,0.8413,0.0359,0.0540,4696,10304,0.7077,0.4410,15000,0.5000,1.4153,0.2666,0.7173
11,0.1847,0.1937,1500,228,1272,0.0500,0.1520,0.8480,0.0344,0.0544,4924,11576,0.7420,0.4955,16500,0.5500,1.3491,0.2466,0.6872
12,0.1746,0.1847,1500,238,1262,0.0500,0.1587,0.8413,0.0359,0.0540,5162,12838,0.7779,0.5495,18000,0.6000,1.2965,0.2284,0.7173
13,0.1642,0.1746,1500,219,1281,0.0500,0.1460,0.8540,0.0330,0.0548,5381,14119,0.8109,0.6043,19500,0.6500,1.2475,0.2066,0.6600
14,0.1529,0.1642,1500,248,1252,0.0500,0.1653,0.8347,0.0374,0.0536,5629,15371,0.8483,0.6579,21000,0.7000,1.2118,0.1904,0.7474
15,0.1402,0.1529,1500,215,1285,0.0500,0.1433,0.8567,0.0324,0.0550,5844,16656,0.8807,0.7129,22500,0.7500,1.1742,0.1678,0.6480
16,0.1265,0.1402,1500,199,1301,0.0500,0.1327,0.8673,0.0300,0.0557,6043,17957,0.9106,0.7686,24000,0.8000,1.1383,0.1421,0.5998
17,0.1102,0.1265,1500,166,1334,0.0500,0.1107,0.8893,0.0250,0.0571,6209,19291,0.9357,0.8257,25500,0.8500,1.1008,0.1100,0.5003
18,0.0900,0.1102,1500,162,1338,0.0500,0.1080,0.8920,0.0244,0.0573,6371,20629,0.9601,0.8829,27000,0.9000,1.0667,0.0771,0.4882
19,0.0633,0.0900,1500,156,1344,0.0500,0.1040,0.8960,0.0235,0.0575,6527,21973,0.9836,0.9405,28500,0.9500,1.0353,0.0431,0.4702
20,0.0000,0.0632,1500,109,1391,0.0500,0.0727,0.9273,0.0164,0.0595,6636,23364,1.0000,1.0000,30000,1.0000,1.0000,0.0000,0.3285
