_bin,human_readable_bin,total,good,bad,bad_rate,bin_pct,good_dist,bad_dist,good_dist_minus_bad_dist,odds_ratio,woe,woe_display,iv
"(9999.999, 20000.0]",from_10000_to_20000,2471,1576,895,0.3622,0.0824,0.0675,0.1348,-0.0674,0.5003,-0.6926,-69.2568,0.0467
"(20000.0, 30000.0]",from_20000_to_30000,1610,1042,568,0.3528,0.0537,0.0446,0.0856,-0.0410,0.5211,-0.6518,-65.1772,0.0267
"(30000.0, 70000.0]",from_30000_to_70000,5151,3731,1420,0.2757,0.1717,0.1597,0.2139,-0.0542,0.7465,-0.2923,-29.2346,0.0159
"(70000.0, 100000.0]",from_70000_to_100000,3266,2465,801,0.2453,0.1089,0.1055,0.1207,-0.0152,0.8742,-0.1345,-13.4483,0.0020
"(100000.0, 140000.0]",from_100000_to_140000,2792,2154,638,0.2285,0.0931,0.0922,0.0961,-0.0040,0.9589,-0.0420,-4.1956,0.0002
"(140000.0, 160000.0]",from_140000_to_160000,1804,1480,324,0.1796,0.0601,0.0634,0.0489,0.0145,1.2965,0.2597,25.9702,0.0038
"(160000.0, 200000.0]",from_160000_to_200000,3284,2711,573,0.1745,0.1095,0.1160,0.0864,0.0297,1.3436,0.2954,29.5352,0.0088
"(200000.0, 240000.0]",from_200000_to_240000,2555,2126,429,0.1679,0.0852,0.0910,0.0647,0.0263,1.4070,0.3415,34.1463,0.0090
"(240000.0, 360000.0]",from_240000_to_360000,4591,3897,694,0.1512,0.1530,0.1668,0.1046,0.0622,1.5948,0.4668,46.6751,0.0290
"(360000.0, 1000000.0]",from_360000_to_1000000,2476,2182,294,0.1187,0.0825,0.0934,0.0443,0.0490,2.1060,0.7448,74.4799,0.0365
