_bin,human_readable_bin,total,good,bad,bad_rate,bin_pct,good_dist,bad_dist,good_dist_minus_bad_dist,odds_ratio,woe,woe_display,iv
"(19.073999999999998, 28.542]",from_19_to_29,50,48,2,0.0400,0.0500,0.2413,0.0031,0.2382,78.0826,4.3578,435.7767,1.0380
"(28.542, 39.565]",from_29_to_40,50,42,8,0.1600,0.0500,0.2114,0.0105,0.2009,20.1244,3.0019,300.1932,0.6032
"(39.565, 49.755]",from_40_to_50,50,34,16,0.3200,0.0500,0.1716,0.0204,0.1512,8.4156,2.1301,213.0093,0.3222
"(49.755, 59.085]",from_50_to_59,50,25,25,0.5000,0.0500,0.1269,0.0315,0.0953,4.0249,1.3925,139.2494,0.1328
"(59.085, 72.746]",from_59_to_73,50,22,28,0.5600,0.0500,0.1119,0.0352,0.0767,3.1775,1.1561,115.6105,0.0887
"(72.746, 83.181]",from_73_to_83,50,12,38,0.7600,0.0500,0.0622,0.0476,0.0146,1.3068,0.2676,26.7564,0.0039
"(83.181, 95.978]",from_83_to_96,50,7,43,0.8600,0.0500,0.0373,0.0538,-0.0165,0.6939,-0.3654,-36.5364,0.0060
"(95.978, 105.865]",from_96_to_106,50,3,47,0.9400,0.0500,0.0174,0.0587,-0.0413,0.2966,-1.2155,-121.5473,0.0502
"(105.865, 118.778]",from_106_to_119,50,1,49,0.9800,0.0500,0.0075,0.0612,-0.0537,0.1220,-2.1040,-210.4014,0.1130
"(118.778, 249.935]",from_119_to_250,550,2,548,0.9964,0.5500,0.0124,0.6780,-0.6656,0.0183,-3.9984,-399.8403,2.6612
