decile,minProbability,maxProbability,observations,bad,good,populationRate,badRate,goodRate,badDistribution,goodDistribution,cumulativeBad,cumulativeGood,cumulativeBadRate,cumulativeGoodRate,cumulativePopulation,cumulativePopulationRate,cumulativeLift,ks,decileLift
1,0.7037,0.8525,1005,706,299,0.0500,0.7025,0.2975,0.1588,0.0191,706,299,0.1588,0.0191,1005,0.0500,3.1759,0.1397,3.1759
2,0.5221,0.7037,1005,696,309,0.0500,0.6925,0.3075,0.1565,0.0197,1402,608,0.3153,0.0388,2010,0.1000,3.1534,0.2765,3.1309
3,0.3795,0.5221,1005,451,554,0.0500,0.4488,0.5512,0.1014,0.0354,1853,1162,0.4168,0.0742,3015,0.1500,2.7785,0.3425,2.0288
4,0.3063,0.3795,1005,347,658,0.0500,0.3453,0.6547,0.0780,0.0420,2200,1820,0.4948,0.1163,4020,0.2000,2.4741,0.3786,1.5610
5,0.2331,0.3063,1005,256,749,0.0500,0.2547,0.7453,0.0576,0.0478,2456,2569,0.5524,0.1641,5025,0.2500,2.2096,0.3883,1.1516
6,0.1963,0.2331,1005,236,769,0.0500,0.2348,0.7652,0.0531,0.0491,2692,3338,0.6055,0.2132,6030,0.3000,2.0183,0.3923,1.0616
7,0.1879,0.1963,1005,216,789,0.0500,0.2149,0.7851,0.0486,0.0504,2908,4127,0.6541,0.2636,7035,0.3500,1.8688,0.3904,0.9717
8,0.1625,0.1879,1005,187,818,0.0500,0.1861,0.8139,0.0421,0.0523,3095,4945,0.6961,0.3159,8040,0.4000,1.7403,0.3802,0.8412
9,0.1558,0.1625,1005,153,852,0.0500,0.1522,0.8478,0.0344,0.0544,3248,5797,0.7305,0.3703,9045,0.4500,1.6234,0.3602,0.6883
10,0.1483,0.1558,1005,171,834,0.0500,0.1701,0.8299,0.0385,0.0533,3419,6631,0.7690,0.4236,10050,0.5000,1.5380,0.3454,0.7692
11,0.1432,0.1483,1005,150,855,0.0500,0.1493,0.8507,0.0337,0.0546,3569,7486,0.8027,0.4782,11055,0.5500,1.4595,0.3245,0.6748
12,0.1365,0.1432,1005,141,864,0.0500,0.1403,0.8597,0.0317,0.0552,3710,8350,0.8345,0.5334,12060,0.6000,1.3908,0.3010,0.6343
13,0.1279,0.1365,1005,125,880,0.0500,0.1244,0.8756,0.0281,0.0562,3835,9230,0.8626,0.5896,13065,0.6500,1.3270,0.2729,0.5623
14,0.1176,0.1279,1005,119,886,0.0500,0.1184,0.8816,0.0268,0.0566,3954,10116,0.8893,0.6462,14070,0.7000,1.2705,0.2431,0.5353
15,0.1099,0.1176,1005,92,913,0.0500,0.0915,0.9085,0.0207,0.0583,4046,11029,0.9100,0.7045,15075,0.7500,1.2134,0.2055,0.4139
16,0.1019,0.1099,1005,96,909,0.0500,0.0955,0.9045,0.0216,0.0581,4142,11938,0.9316,0.7626,16080,0.8000,1.1645,0.1690,0.4318
17,0.0895,0.1019,1005,81,924,0.0500,0.0806,0.9194,0.0182,0.0590,4223,12862,0.9498,0.8216,17085,0.8500,1.1175,0.1282,0.3644
18,0.0841,0.0893,1005,93,912,0.0500,0.0925,0.9075,0.0209,0.0583,4316,13774,0.9708,0.8799,18090,0.9000,1.0786,0.0909,0.4184
19,0.0737,0.0841,1005,65,940,0.0500,0.0647,0.9353,0.0146,0.0600,4381,14714,0.9854,0.9400,19095,0.9500,1.0372,0.0454,0.2924
20,0.0229,0.0737,1005,65,940,0.0500,0.0647,0.9353,0.0146,0.0600,4446,15654,1.0000,1.0000,20100,1.0000,1.0000,0.0000,0.2924
