Feature,Step,VIF,Removed
credit_limit,1,1.2308,No
age,1,1.0222,No
bill_amount_sep_2005,1,13.9143,No
bill_amount_aug_2005,1,25.7601,Yes
bill_amount_jul_2005,1,21.7274,No
bill_amount_jun_2005,1,20.2473,No
bill_amount_may_2005,1,24.8861,No
bill_amount_apr_2005,1,14.9272,No
payment_amount_sep_2005,1,1.6914,No
payment_amount_aug_2005,1,2.2228,No
payment_amount_jul_2005,1,1.7351,No
payment_amount_jun_2005,1,1.6295,No
payment_amount_may_2005,1,1.6788,No
payment_amount_apr_2005,1,1.1690,No
credit_limit,2,1.2300,No
age,2,1.0222,No
bill_amount_sep_2005,2,6.6147,No
bill_amount_jul_2005,2,16.4525,No
bill_amount_jun_2005,2,20.2452,No
bill_amount_may_2005,2,24.8801,Yes
bill_amount_apr_2005,2,14.8778,No
payment_amount_sep_2005,2,1.2347,No
payment_amount_aug_2005,2,1.7690,No
payment_amount_jul_2005,2,1.7326,No
payment_amount_jun_2005,2,1.6280,No
payment_amount_may_2005,2,1.6720,No
payment_amount_apr_2005,2,1.1683,No
credit_limit,3,1.2290,No
age,3,1.0222,No
bill_amount_sep_2005,3,6.6121,No
bill_amount_jul_2005,3,16.4278,Yes
bill_amount_jun_2005,3,15.5476,No
bill_amount_apr_2005,3,7.4911,No
payment_amount_sep_2005,3,1.2344,No
payment_amount_aug_2005,3,1.7656,No
payment_amount_jul_2005,3,1.7263,No
payment_amount_jun_2005,3,1.2914,No
payment_amount_may_2005,3,1.3296,No
payment_amount_apr_2005,3,1.1544,No
credit_limit,4,1.2274,No
age,4,1.0221,No
bill_amount_sep_2005,4,4.3054,No
bill_amount_jun_2005,4,10.3238,Yes
bill_amount_apr_2005,4,7.4570,No
payment_amount_sep_2005,4,1.2057,No
payment_amount_aug_2005,4,1.2057,No
payment_amount_jul_2005,4,1.2972,No
payment_amount_jun_2005,4,1.2908,No
payment_amount_may_2005,4,1.3295,No
payment_amount_apr_2005,4,1.1543,No
credit_limit,5,1.2274,No
age,5,1.0221,No
bill_amount_sep_2005,5,4.3054,No
bill_amount_apr_2005,5,7.4570,No
payment_amount_sep_2005,5,1.2057,No
payment_amount_aug_2005,5,1.2057,No
payment_amount_jul_2005,5,1.2972,No
payment_amount_jun_2005,5,1.2908,No
payment_amount_may_2005,5,1.3295,No
payment_amount_apr_2005,5,1.1543,No
