Feature,Step,VIF,Removed
credit_limit_right,1,1.0648,No
age_right,1,1.0683,No
bill_amount_sep_2005_right,1,4.6361,No
bill_amount_aug_2005_right,1,6.1406,No
bill_amount_jul_2005_right,1,4.4909,No
bill_amount_jun_2005_right,1,3.7865,No
bill_amount_may_2005_right,1,4.7891,No
bill_amount_apr_2005_right,1,3.6501,No
payment_amount_sep_2005_right,1,1.1157,No
payment_amount_aug_2005_right,1,1.2223,No
payment_amount_jul_2005_right,1,1.2279,No
payment_amount_jun_2005_right,1,1.1367,No
payment_amount_may_2005_right,1,1.0936,No
payment_amount_apr_2005_right,1,1.0863,No
credit_limit_woe,1,1.5707,No
age_woe,1,1.1711,No
bill_amount_sep_2005_woe,1,3.8801,No
bill_amount_aug_2005_woe,1,2.0028,No
bill_amount_jul_2005_woe,1,7.7863,No
bill_amount_jun_2005_woe,1,8.0077,Yes
bill_amount_may_2005_woe,1,4.4098,No
bill_amount_apr_2005_woe,1,2.1559,No
payment_amount_sep_2005_woe,1,2.3279,No
payment_amount_aug_2005_woe,1,2.0990,No
payment_amount_jul_2005_woe,1,2.2276,No
payment_amount_jun_2005_woe,1,2.2246,No
payment_amount_may_2005_woe,1,2.1946,No
payment_amount_apr_2005_woe,1,1.8576,No
gender_woe,1,1.0172,No
education_woe,1,1.0672,No
marital_status_woe,1,1.1004,No
repayment_status_sep_2005_woe,1,1.8930,No
repayment_status_aug_2005_woe,1,2.8957,No
repayment_status_jul_2005_woe,1,2.7197,No
repayment_status_jun_2005_woe,1,2.8302,No
repayment_status_may_2005_woe,1,2.9574,No
repayment_status_apr_2005_woe,1,2.1764,No
low_cardinality_numeric_woe,1,1.0014,No
credit_limit_right,2,1.0646,No
age_right,2,1.0683,No
bill_amount_sep_2005_right,2,4.6360,No
bill_amount_aug_2005_right,2,6.1405,Yes
bill_amount_jul_2005_right,2,4.4906,No
bill_amount_jun_2005_right,2,3.7837,No
bill_amount_may_2005_right,2,4.7890,No
bill_amount_apr_2005_right,2,3.6500,No
payment_amount_sep_2005_right,2,1.1157,No
payment_amount_aug_2005_right,2,1.2153,No
payment_amount_jul_2005_right,2,1.1212,No
payment_amount_jun_2005_right,2,1.1117,No
payment_amount_may_2005_right,2,1.0931,No
payment_amount_apr_2005_right,2,1.0862,No
credit_limit_woe,2,1.5703,No
age_woe,2,1.1710,No
bill_amount_sep_2005_woe,2,3.8778,No
bill_amount_aug_2005_woe,2,2.0028,No
bill_amount_jul_2005_woe,2,4.7899,No
bill_amount_may_2005_woe,2,3.8470,No
bill_amount_apr_2005_woe,2,2.1556,No
payment_amount_sep_2005_woe,2,2.3279,No
payment_amount_aug_2005_woe,2,2.0981,No
payment_amount_jul_2005_woe,2,2.1052,No
payment_amount_jun_2005_woe,2,2.2244,No
payment_amount_may_2005_woe,2,2.1929,No
payment_amount_apr_2005_woe,2,1.8574,No
gender_woe,2,1.0172,No
education_woe,2,1.0672,No
marital_status_woe,2,1.1004,No
repayment_status_sep_2005_woe,2,1.8929,No
repayment_status_aug_2005_woe,2,2.8957,No
repayment_status_jul_2005_woe,2,2.7183,No
repayment_status_jun_2005_woe,2,2.8167,No
repayment_status_may_2005_woe,2,2.9572,No
repayment_status_apr_2005_woe,2,2.1762,No
low_cardinality_numeric_woe,2,1.0014,No
credit_limit_right,3,1.0646,No
age_right,3,1.0683,No
bill_amount_sep_2005_right,3,4.6360,No
bill_amount_jul_2005_right,3,4.4906,No
bill_amount_jun_2005_right,3,3.7837,No
bill_amount_may_2005_right,3,4.7890,No
bill_amount_apr_2005_right,3,3.6500,No
payment_amount_sep_2005_right,3,1.1157,No
payment_amount_aug_2005_right,3,1.2153,No
payment_amount_jul_2005_right,3,1.1212,No
payment_amount_jun_2005_right,3,1.1117,No
payment_amount_may_2005_right,3,1.0931,No
payment_amount_apr_2005_right,3,1.0862,No
credit_limit_woe,3,1.5703,No
age_woe,3,1.1710,No
bill_amount_sep_2005_woe,3,3.8778,No
bill_amount_aug_2005_woe,3,2.0028,No
bill_amount_jul_2005_woe,3,4.7899,No
bill_amount_may_2005_woe,3,3.8470,No
bill_amount_apr_2005_woe,3,2.1556,No
payment_amount_sep_2005_woe,3,2.3279,No
payment_amount_aug_2005_woe,3,2.0981,No
payment_amount_jul_2005_woe,3,2.1052,No
payment_amount_jun_2005_woe,3,2.2244,No
payment_amount_may_2005_woe,3,2.1929,No
payment_amount_apr_2005_woe,3,1.8574,No
gender_woe,3,1.0172,No
education_woe,3,1.0672,No
marital_status_woe,3,1.1004,No
repayment_status_sep_2005_woe,3,1.8929,No
repayment_status_aug_2005_woe,3,2.8957,No
repayment_status_jul_2005_woe,3,2.7183,No
repayment_status_jun_2005_woe,3,2.8167,No
repayment_status_may_2005_woe,3,2.9572,No
repayment_status_apr_2005_woe,3,2.1762,No
low_cardinality_numeric_woe,3,1.0014,No
